Date,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales
01-02-2014,Government,France,Amarilla,None,2750,260,350,962500,0,962500
01-04-2014,Channel Partners,United States of America,Amarilla,None,1953,260,12,23436,0,23436
01-04-2014,Enterprise,Germany,Amarilla,None,4220,260,125,527438,0,527438
01-06-2014,Government,France,Amarilla,None,1899,260,20,37980,0,37980
01-07-2014,Government,Germany,Amarilla,None,1686,260,7,11802,0,11802
01-08-2014,Channel Partners,United States of America,Amarilla,None,2141,260,12,25692,0,25692
01-10-2014,Government,United States of America,Amarilla,None,1143,260,7,8001,0,8001
01-12-2014,Midmarket,United States of America,Amarilla,None,615,260,15,9225,0,9225
01-01-2014,Government,France,Paseo,Low,3945,10,7,27615,276,27339
01-02-2014,Midmarket,France,Paseo,Low,2296,10,15,34440,344,34096
01-05-2014,Government,France,Paseo,Low,1030,10,7,7210,72,7138
01-11-2014,Government,France,Velo,Low,639,120,7,4473,45,4428
01-03-2014,Government,Canada,VTT,Low,1326,250,7,9282,93,9189
01-02-2014,Channel Partners,United States of America,Carretera,Low,1858,3,12,22296,223,22073
01-03-2014,Government,Mexico,Carretera,Low,1210,3,350,423500,4235,419265
01-07-2014,Government,United States of America,Carretera,Low,2529,3,7,17703,177,17526
01-09-2014,Channel Partners,Canada,Carretera,Low,1445,3,12,17340,173,17167
01-09-2013,Enterprise,United States of America,Carretera,Low,330,3,125,41250,413,40838
01-09-2014,Channel Partners,France,Carretera,Low,2671,3,12,32052,321,31731
01-10-2013,Channel Partners,Germany,Carretera,Low,766,3,12,9192,92,9100
01-10-2013,Small Business,Mexico,Carretera,Low,494,3,300,148200,1482,146718
01-10-2014,Government,Mexico,Carretera,Low,1397,3,350,488950,4890,484061
01-12-2014,Government,France,Carretera,Low,2155,3,350,754250,7543,746708
01-03-2014,Midmarket,Mexico,Montana,Low,2214,5,15,33210,332,32878
01-04-2014,Small Business,United States of America,Montana,Low,2301,5,300,690300,6903,683397
01-07-2014,Government,France,Montana,Low,1376,5,20,27510,275,27235
01-08-2014,Government,Canada,Montana,Low,1830,5,7,12810,128,12682
01-09-2013,Small Business,United States of America,Montana,Low,2498,5,300,749400,7494,741906
01-10-2013,Enterprise,United States of America,Montana,Low,663,5,125,82875,829,82046
01-02-2014,Midmarket,United States of America,Paseo,Low,1514,10,15,22710,227,22483
01-04-2014,Government,United States of America,Paseo,Low,4493,10,7,31448,314,31133
01-06-2014,Enterprise,United States of America,Paseo,Low,727,10,125,90875,909,89966
01-06-2014,Enterprise,France,Paseo,Low,787,10,125,98375,984,97391
01-07-2014,Enterprise,Mexico,Paseo,Low,1823,10,125,227875,2279,225596
01-09-2014,Midmarket,Germany,Paseo,Low,747,10,15,11205,112,11093
01-10-2013,Channel Partners,Germany,Paseo,Low,766,10,12,9192,92,9100
01-11-2014,Small Business,United States of America,Paseo,Low,2905,10,300,871500,8715,862785
01-12-2014,Government,France,Paseo,Low,2155,10,350,754250,7543,746708
01-04-2014,Government,France,Velo,Low,3864,120,20,77280,773,76507
01-05-2014,Government,Mexico,Velo,Low,362,120,7,2534,25,2509
01-08-2014,Enterprise,Canada,Velo,Low,923,120,125,115375,1154,114221
01-10-2013,Enterprise,United States of America,Velo,Low,663,120,125,82875,829,82046
01-11-2013,Government,Canada,Velo,Low,2092,120,7,14644,146,14498
01-03-2014,Government,Germany,VTT,Low,263,250,7,1841,18,1823
01-04-2014,Government,Canada,VTT,Low,944,250,350,330225,3302,326923
01-06-2014,Enterprise,United States of America,VTT,Low,727,250,125,90875,909,89966
01-06-2014,Enterprise,France,VTT,Low,787,250,125,98375,984,97391
01-09-2014,Small Business,Germany,VTT,Low,986,250,300,295800,2958,292842
01-10-2013,Small Business,Mexico,VTT,Low,494,250,300,148200,1482,146718
01-10-2014,Government,Mexico,VTT,Low,1397,250,350,488950,4890,484061
01-11-2014,Enterprise,France,VTT,Low,1744,250,125,218000,2180,215820
01-09-2013,Channel Partners,United States of America,Amarilla,Low,1989,260,12,23868,239,23629
01-11-2013,Midmarket,France,Amarilla,Low,321,260,15,4815,48,4767
01-04-2014,Enterprise,Canada,Carretera,Low,743,3,125,92813,1856,90956
01-10-2014,Channel Partners,Canada,Carretera,Low,1295,3,12,15540,311,15229
01-10-2013,Small Business,Germany,Carretera,Low,214,3,300,64200,1284,62916
01-11-2013,Government,France,Carretera,Low,2145,3,7,15015,300,14715
01-12-2014,Government,Canada,Carretera,Low,2852,3,350,998200,19964,978236
01-06-2014,Channel Partners,United States of America,Montana,Low,1142,5,12,13704,274,13430
01-10-2014,Government,United States of America,Montana,Low,1566,5,20,31320,626,30694
01-11-2014,Channel Partners,Mexico,Montana,Low,690,5,12,8280,166,8114
01-11-2013,Enterprise,Mexico,Montana,Low,1660,5,125,207500,4150,203350
01-02-2014,Midmarket,Canada,Paseo,Low,2363,10,15,35445,709,34736
01-05-2014,Small Business,France,Paseo,Low,918,10,300,275400,5508,269892
01-05-2014,Small Business,Germany,Paseo,Low,1728,10,300,518400,10368,508032
01-06-2014,Channel Partners,United States of America,Paseo,Low,1142,10,12,13704,274,13430
01-06-2014,Enterprise,Mexico,Paseo,Low,662,10,125,82750,1655,81095
01-10-2014,Channel Partners,Canada,Paseo,Low,1295,10,12,15540,311,15229
01-10-2013,Enterprise,Germany,Paseo,Low,809,10,125,101125,2023,99103
01-10-2013,Enterprise,Mexico,Paseo,Low,2145,10,125,268125,5363,262763
01-11-2013,Channel Partners,France,Paseo,Low,1785,10,12,21420,428,20992
01-12-2014,Small Business,Canada,Paseo,Low,1916,10,300,574800,11496,563304
01-12-2014,Government,Canada,Paseo,Low,2852,10,350,998200,19964,978236
01-12-2014,Enterprise,Canada,Paseo,Low,2729,10,125,341125,6823,334303
01-12-2013,Midmarket,United States of America,Paseo,Low,1925,10,15,28875,578,28298
01-12-2013,Government,United States of America,Paseo,Low,2013,10,7,14091,282,13809
01-12-2014,Channel Partners,France,Paseo,Low,1055,10,12,12660,253,12407
01-12-2014,Channel Partners,Mexico,Paseo,Low,1084,10,12,13008,260,12748
01-10-2014,Government,United States of America,Velo,Low,1566,120,20,31320,626,30694
01-10-2013,Government,Germany,Velo,Low,2966,120,350,1038100,20762,1017338
01-10-2014,Government,Germany,Velo,Low,2877,120,350,1006950,20139,986811
01-10-2013,Enterprise,Germany,Velo,Low,809,120,125,101125,2023,99103
01-10-2013,Enterprise,Mexico,Velo,Low,2145,120,125,268125,5363,262763
01-12-2014,Channel Partners,France,Velo,Low,1055,120,12,12660,253,12407
01-12-2013,Government,Mexico,Velo,Low,544,120,20,10880,218,10662
01-12-2014,Channel Partners,Mexico,Velo,Low,1084,120,12,13008,260,12748
01-06-2014,Enterprise,Mexico,VTT,Low,662,250,125,82750,1655,81095
01-10-2013,Small Business,Germany,VTT,Low,214,250,300,64200,1284,62916
01-10-2014,Government,Germany,VTT,Low,2877,250,350,1006950,20139,986811
01-12-2014,Enterprise,Canada,VTT,Low,2729,250,125,341125,6823,334303
01-12-2013,Government,United States of America,VTT,Low,266,250,350,93100,1862,91238
01-12-2013,Government,Mexico,VTT,Low,1940,250,350,679000,13580,665420
01-03-2014,Small Business,Germany,Amarilla,Low,259,260,300,77700,1554,76146
01-03-2014,Small Business,Mexico,Amarilla,Low,1101,260,300,330300,6606,323694
01-05-2014,Enterprise,Germany,Amarilla,Low,2276,260,125,284500,5690,278810
01-10-2013,Government,Germany,Amarilla,Low,2966,260,350,1038100,20762,1017338
01-11-2014,Government,United States of America,Amarilla,Low,1236,260,20,24720,494,24226
01-11-2014,Government,France,Amarilla,Low,941,260,20,18820,376,18444
01-12-2014,Small Business,Canada,Amarilla,Low,1916,260,300,574800,11496,563304
01-04-2014,Enterprise,France,Carretera,Low,4244,3,125,530438,15913,514524
01-04-2014,Government,Germany,Carretera,Low,2580,3,20,51600,1548,50052
01-06-2014,Small Business,Germany,Carretera,Low,689,3,300,206700,6201,200499
01-09-2014,Channel Partners,United States of America,Carretera,Low,1947,3,12,23364,701,22663
01-12-2013,Channel Partners,Canada,Carretera,Low,908,3,12,10896,327,10569
01-02-2014,Government,Germany,Montana,Low,1958,5,7,13706,411,13295
01-06-2014,Channel Partners,France,Montana,Low,1901,5,12,22812,684,22128
01-09-2014,Government,France,Montana,Low,544,5,7,3808,114,3694
01-09-2013,Government,Germany,Montana,Low,1797,5,350,628950,18869,610082
01-12-2014,Enterprise,France,Montana,Low,1287,5,125,160875,4826,156049
01-12-2014,Enterprise,Germany,Montana,Low,1706,5,125,213250,6398,206853
01-01-2014,Small Business,France,Paseo,Low,2435,10,300,730350,21911,708440
01-03-2014,Enterprise,Canada,Paseo,Low,1774,10,125,221750,6653,215098
01-06-2014,Channel Partners,France,Paseo,Low,1901,10,12,22812,684,22128
01-06-2014,Small Business,Germany,Paseo,Low,689,10,300,206700,6201,200499
01-06-2014,Enterprise,Germany,Paseo,Low,1570,10,125,196250,5888,190363
01-07-2014,Channel Partners,United States of America,Paseo,Low,1370,10,12,16434,493,15941
01-10-2014,Enterprise,Canada,Paseo,Low,2009,10,125,251125,7534,243591
01-10-2013,Midmarket,Germany,Paseo,Low,1945,10,15,29175,875,28300
01-12-2014,Enterprise,France,Paseo,Low,1287,10,125,160875,4826,156049
01-12-2014,Enterprise,Germany,Paseo,Low,1706,10,125,213250,6398,206853
01-10-2014,Enterprise,Canada,Velo,Low,2009,120,125,251125,7534,243591
01-02-2014,Small Business,United States of America,VTT,Low,2844,250,300,853200,25596,827604
01-04-2014,Channel Partners,Mexico,VTT,Low,1916,250,12,22992,690,22302
01-06-2014,Enterprise,Germany,VTT,Low,1570,250,125,196250,5888,190363
01-08-2014,Small Business,Canada,VTT,Low,1874,250,300,562200,16866,545334
01-08-2014,Government,Mexico,VTT,Low,1642,250,350,574700,17241,557459
01-10-2013,Midmarket,Germany,VTT,Low,1945,250,15,29175,875,28300
01-05-2014,Government,Canada,Carretera,Low,831,3,20,16620,499,16121
01-09-2013,Government,Mexico,Paseo,Low,1760,10,7,12320,370,11950
01-04-2014,Government,Canada,Velo,Low,3851,120,20,77010,2310,74700
01-01-2014,Channel Partners,Germany,VTT,Low,2479,250,12,29748,892,28856
01-10-2014,Midmarket,Mexico,Montana,Low,2031,5,15,30465,1219,29246
01-10-2014,Midmarket,Mexico,Paseo,Low,2031,10,15,30465,1219,29246
01-12-2013,Midmarket,France,Paseo,Low,2261,10,15,33915,1357,32558
01-09-2013,Government,United States of America,Velo,Low,736,120,20,14720,589,14131
01-10-2013,Government,Canada,Carretera,Low,2851,3,7,19957,798,19159
01-10-2014,Small Business,Germany,Carretera,Low,2021,3,300,606300,24252,582048
01-12-2014,Government,United States of America,Carretera,Low,274,3,350,95900,3836,92064
01-03-2014,Midmarket,Canada,Montana,Low,1967,5,15,29505,1180,28325
01-08-2014,Small Business,Germany,Montana,Low,1859,5,300,557700,22308,535392
01-10-2013,Government,Canada,Montana,Low,2851,5,7,19957,798,19159
01-10-2014,Small Business,Germany,Montana,Low,2021,5,300,606300,24252,582048
01-12-2014,Enterprise,Mexico,Montana,Low,1138,5,125,142250,5690,136560
01-01-2014,Government,Canada,Paseo,Low,4251,10,7,29757,1190,28567
01-03-2014,Enterprise,Germany,Paseo,Low,795,10,125,99375,3975,95400
01-04-2014,Small Business,Germany,Paseo,Low,1415,10,300,424350,16974,407376
01-05-2014,Small Business,United States of America,Paseo,Low,2918,10,300,875400,35016,840384
01-07-2014,Government,United States of America,Paseo,Low,3450,10,350,1207500,48300,1159200
01-07-2014,Enterprise,France,Paseo,Low,2988,10,125,373500,14940,358560
01-09-2014,Midmarket,Canada,Paseo,Low,218,10,15,3270,131,3139
01-09-2014,Government,Canada,Paseo,Low,2074,10,20,41480,1659,39821
01-09-2014,Government,United States of America,Paseo,Low,1056,10,20,21120,845,20275
01-10-2013,Midmarket,United States of America,Paseo,Low,671,10,15,10065,403,9662
01-10-2013,Midmarket,Mexico,Paseo,Low,1514,10,15,22710,908,21802
01-12-2014,Government,United States of America,Paseo,Low,274,10,350,95900,3836,92064
01-12-2014,Enterprise,Mexico,Paseo,Low,1138,10,125,142250,5690,136560
01-03-2014,Channel Partners,United States of America,Velo,Low,1465,120,12,17580,703,16877
01-09-2013,Government,Canada,Velo,Low,2646,120,20,52920,2117,50803
01-10-2014,Government,France,Velo,Low,2177,120,350,761950,30478,731472
01-05-2014,Channel Partners,France,VTT,Low,866,250,12,10392,416,9976
01-09-2013,Government,United States of America,VTT,Low,349,250,350,122150,4886,117264
01-10-2014,Government,France,VTT,Low,2177,250,350,761950,30478,731472
01-10-2013,Midmarket,Mexico,VTT,Low,1514,250,15,22710,908,21802
01-02-2014,Government,Mexico,Amarilla,Low,1865,260,350,652750,26110,626640
01-04-2014,Enterprise,Mexico,Amarilla,Low,1074,260,125,134250,5370,128880
01-09-2014,Government,Germany,Amarilla,Low,1907,260,350,667450,26698,640752
01-10-2013,Midmarket,United States of America,Amarilla,Low,671,260,15,10065,403,9662
01-12-2013,Government,Canada,Amarilla,Low,1778,260,350,622300,24892,597408
01-10-2013,Government,Germany,Montana,Medium,1159,5,7,8113,406,7707
01-01-2014,Government,Germany,Paseo,Medium,1372,10,7,9604,480,9124
01-09-2013,Government,Canada,Paseo,Medium,2349,10,7,16443,822,15621
01-10-2014,Government,Mexico,Paseo,Medium,2689,10,7,18823,941,17882
01-12-2014,Channel Partners,Canada,Paseo,Medium,2431,10,12,29172,1459,27713
01-12-2014,Channel Partners,Canada,Velo,Medium,2431,120,12,29172,1459,27713
01-10-2014,Government,Mexico,VTT,Medium,2689,250,7,18823,941,17882
01-07-2014,Government,Mexico,Amarilla,Medium,1683,260,7,11781,589,11192
01-08-2014,Channel Partners,Mexico,Amarilla,Medium,1123,260,12,13476,674,12802
01-10-2013,Government,Germany,Amarilla,Medium,1159,260,7,8113,406,7707
01-02-2014,Channel Partners,France,Carretera,Medium,1865,3,12,22380,1119,21261
01-02-2014,Channel Partners,Germany,Carretera,Medium,1116,3,12,13392,670,12722
01-05-2014,Government,France,Carretera,Medium,1563,3,20,31260,1563,29697
01-06-2014,Small Business,United States of America,Carretera,Medium,991,3,300,297300,14865,282435
01-11-2013,Government,Germany,Carretera,Medium,1016,3,7,7112,356,6756
01-11-2014,Midmarket,Mexico,Carretera,Medium,2791,3,15,41865,2093,39772
01-12-2014,Government,United States of America,Carretera,Medium,570,3,7,3990,200,3791
01-12-2014,Government,France,Carretera,Medium,2487,3,7,17409,870,16539
01-01-2014,Government,France,Montana,Medium,1385,5,350,484575,24229,460346
01-07-2014,Enterprise,United States of America,Montana,Medium,3627,5,125,453375,22669,430706
01-09-2013,Government,Mexico,Montana,Medium,720,5,350,252000,12600,239400
01-11-2014,Channel Partners,Germany,Montana,Medium,2342,5,12,28104,1405,26699
01-12-2013,Small Business,Mexico,Montana,Medium,1100,5,300,330000,16500,313500
01-02-2014,Government,France,Paseo,Medium,1303,10,20,26060,1303,24757
01-03-2014,Enterprise,United States of America,Paseo,Medium,2992,10,125,374000,18700,355300
01-03-2014,Enterprise,France,Paseo,Medium,2385,10,125,298125,14906,283219
01-04-2014,Small Business,Mexico,Paseo,Medium,1607,10,300,482100,24105,457995
01-05-2014,Government,United States of America,Paseo,Medium,2327,10,7,16289,814,15475
01-06-2014,Small Business,United States of America,Paseo,Medium,991,10,300,297300,14865,282435
01-06-2014,Government,United States of America,Paseo,Medium,602,10,350,210700,10535,200165
01-09-2014,Midmarket,France,Paseo,Medium,2620,10,15,39300,1965,37335
01-10-2013,Government,Canada,Paseo,Medium,1228,10,350,429800,21490,408310
01-10-2013,Government,Canada,Paseo,Medium,1389,10,20,27780,1389,26391
01-10-2014,Enterprise,United States of America,Paseo,Medium,861,10,125,107625,5381,102244
01-10-2013,Enterprise,France,Paseo,Medium,704,10,125,88000,4400,83600
01-12-2013,Government,Canada,Paseo,Medium,1802,10,20,36040,1802,34238
01-12-2014,Government,United States of America,Paseo,Medium,2663,10,20,53260,2663,50597
01-12-2013,Government,France,Paseo,Medium,2136,10,7,14952,748,14204
01-12-2013,Midmarket,Germany,Paseo,Medium,2116,10,15,31740,1587,30153
01-01-2014,Midmarket,United States of America,Velo,Medium,555,120,15,8325,416,7909
01-01-2014,Midmarket,Mexico,Velo,Medium,2861,120,15,42915,2146,40769
01-02-2014,Enterprise,Germany,Velo,Medium,807,120,125,100875,5044,95831
01-06-2014,Government,United States of America,Velo,Medium,602,120,350,210700,10535,200165
01-08-2014,Government,United States of America,Velo,Medium,2832,120,20,56640,2832,53808
01-08-2014,Government,France,Velo,Medium,1579,120,20,31580,1579,30001
01-10-2014,Enterprise,United States of America,Velo,Medium,861,120,125,107625,5381,102244
01-10-2013,Enterprise,France,Velo,Medium,704,120,125,88000,4400,83600
01-12-2013,Government,France,Velo,Medium,1033,120,20,20660,1033,19627
01-12-2014,Small Business,Germany,Velo,Medium,1250,120,300,375000,18750,356250
01-10-2013,Government,Canada,VTT,Medium,1389,250,20,27780,1389,26391
01-11-2013,Government,United States of America,VTT,Medium,1265,250,20,25300,1265,24035
01-11-2013,Government,Germany,VTT,Medium,2297,250,20,45940,2297,43643
01-12-2014,Government,United States of America,VTT,Medium,2663,250,20,53260,2663,50597
01-12-2014,Government,United States of America,VTT,Medium,570,250,7,3990,200,3791
01-12-2014,Government,France,VTT,Medium,2487,250,7,17409,870,16539
01-02-2014,Government,Germany,Amarilla,Medium,1350,260,350,472500,23625,448875
01-08-2014,Government,Canada,Amarilla,Medium,552,260,350,193200,9660,183540
01-10-2013,Government,Canada,Amarilla,Medium,1228,260,350,429800,21490,408310
01-12-2014,Small Business,Germany,Amarilla,Medium,1250,260,300,375000,18750,356250
01-04-2014,Midmarket,France,Paseo,Medium,3801,10,15,57015,3421,53594
01-01-2014,Government,United States of America,Carretera,Medium,1118,3,20,22350,1341,21009
01-06-2014,Midmarket,Canada,Carretera,Medium,2844,3,15,42660,2560,40100
01-09-2014,Channel Partners,Mexico,Carretera,Medium,562,3,12,6744,405,6339
01-10-2013,Channel Partners,Canada,Carretera,Medium,2299,3,12,27588,1655,25933
01-11-2014,Midmarket,United States of America,Carretera,Medium,2030,3,15,30450,1827,28623
01-11-2013,Government,United States of America,Carretera,Medium,263,3,7,1841,110,1731
01-12-2013,Enterprise,Germany,Carretera,Medium,887,3,125,110875,6653,104223
01-04-2014,Government,Mexico,Montana,Medium,980,5,350,343000,20580,322420
01-05-2014,Government,Germany,Montana,Medium,1460,5,350,511000,30660,480340
01-10-2013,Government,France,Montana,Medium,1403,5,7,9821,589,9232
01-11-2014,Channel Partners,United States of America,Montana,Medium,2723,5,12,32676,1961,30715
01-06-2014,Government,France,Paseo,Medium,1496,10,350,523600,31416,492184
01-10-2013,Channel Partners,Canada,Paseo,Medium,2299,10,12,27588,1655,25933
01-10-2013,Government,United States of America,Paseo,Medium,727,10,350,254450,15267,239183
01-02-2014,Enterprise,Canada,Velo,Medium,952,120,125,119000,7140,111860
01-02-2014,Enterprise,United States of America,Velo,Medium,2755,120,125,344375,20663,323713
01-05-2014,Midmarket,Germany,Velo,Medium,1530,120,15,22950,1377,21573
01-06-2014,Government,France,Velo,Medium,1496,120,350,523600,31416,492184
01-06-2014,Government,Mexico,Velo,Medium,1498,120,7,10486,629,9857
01-10-2013,Small Business,France,Velo,Medium,1221,120,300,366300,21978,344322
01-10-2013,Government,France,Velo,Medium,2076,120,350,726600,43596,683004
01-06-2014,Midmarket,Canada,VTT,Medium,2844,250,15,42660,2560,40100
01-06-2014,Government,Mexico,VTT,Medium,1498,250,7,10486,629,9857
01-10-2013,Small Business,France,VTT,Medium,1221,250,300,366300,21978,344322
01-11-2013,Government,Mexico,VTT,Medium,1123,250,20,22460,1348,21112
01-12-2013,Small Business,Canada,VTT,Medium,2436,250,300,730800,43848,686952
01-01-2014,Enterprise,France,Amarilla,Medium,1988,260,125,248438,14906,233531
01-09-2014,Government,Mexico,Amarilla,Medium,1679,260,350,587650,35259,552391
01-10-2013,Government,United States of America,Amarilla,Medium,727,260,350,254450,15267,239183
01-10-2013,Government,France,Amarilla,Medium,1403,260,7,9821,589,9232
01-10-2013,Government,France,Amarilla,Medium,2076,260,350,726600,43596,683004
01-10-2013,Government,France,Montana,Medium,1757,5,20,35140,2108,33032
01-08-2014,Midmarket,United States of America,Paseo,Medium,2198,10,15,32970,1978,30992
01-08-2014,Midmarket,Germany,Paseo,Medium,1743,10,15,26145,1569,24576
01-10-2014,Midmarket,United States of America,Paseo,Medium,1153,10,15,17295,1038,16257
01-10-2013,Government,France,Paseo,Medium,1757,10,20,35140,2108,33032
01-08-2014,Government,Germany,Velo,Medium,1001,120,20,20020,1201,18819
01-11-2014,Government,Mexico,Velo,Medium,1333,120,7,9331,560,8771
01-10-2014,Midmarket,United States of America,VTT,Medium,1153,250,15,17295,1038,16257
01-02-2014,Channel Partners,Mexico,Carretera,Medium,727,3,12,8724,611,8113
01-08-2014,Channel Partners,Canada,Carretera,Medium,1884,3,12,22608,1583,21025
01-09-2013,Government,Mexico,Carretera,Medium,1834,3,20,36680,2568,34112
01-01-2014,Channel Partners,Mexico,Montana,Medium,2340,5,12,28080,1966,26114
01-11-2014,Channel Partners,France,Montana,Medium,2342,5,12,28104,1967,26137
01-09-2013,Government,France,Paseo,Medium,1031,10,7,7217,505,6712
01-05-2014,Midmarket,Canada,Velo,Medium,1262,120,15,18930,1325,17605
01-06-2014,Government,Canada,Velo,Medium,1135,120,7,7945,556,7389
01-11-2014,Government,United States of America,Velo,Medium,547,120,7,3829,268,3561
01-12-2014,Government,Canada,Velo,Medium,1582,120,7,11074,775,10299
01-04-2014,Channel Partners,France,VTT,Medium,1739,250,12,20862,1460,19402
01-09-2013,Channel Partners,Germany,VTT,Medium,2215,250,12,26580,1861,24719
01-12-2014,Government,Canada,VTT,Medium,1582,250,7,11074,775,10299
01-06-2014,Government,Canada,Amarilla,Medium,1135,260,7,7945,556,7389
01-03-2014,Government,United States of America,Carretera,Medium,1761,3,350,616350,43145,573206
01-06-2014,Small Business,France,Carretera,Medium,448,3,300,134400,9408,124992
01-10-2014,Small Business,France,Carretera,Medium,2181,3,300,654300,45801,608499
01-10-2014,Government,France,Montana,Medium,1976,5,20,39520,2766,36754
01-10-2014,Small Business,France,Montana,Medium,2181,5,300,654300,45801,608499
01-11-2013,Enterprise,Germany,Montana,Medium,2500,5,125,312500,21875,290625
01-05-2014,Small Business,Canada,Paseo,Medium,1702,10,300,510600,35742,474858
01-06-2014,Small Business,France,Paseo,Medium,448,10,300,134400,9408,124992
01-07-2014,Enterprise,Germany,Paseo,Medium,3513,10,125,439125,30739,408386
01-08-2014,Midmarket,France,Paseo,Medium,2101,10,15,31515,2206,29309
01-09-2013,Midmarket,United States of America,Paseo,Medium,2931,10,15,43965,3078,40887
01-09-2014,Government,France,Paseo,Medium,1535,10,20,30700,2149,28551
01-09-2013,Small Business,Germany,Paseo,Medium,1123,10,300,336900,23583,313317
01-11-2013,Small Business,Canada,Paseo,Medium,1404,10,300,421200,29484,391716
01-11-2013,Channel Partners,Mexico,Paseo,Medium,2763,10,12,33156,2321,30835
01-12-2013,Government,Germany,Paseo,Medium,2125,10,7,14875,1041,13834
01-07-2014,Small Business,France,Velo,Medium,1659,120,300,497700,34839,462861
01-08-2014,Government,Mexico,Velo,Medium,609,120,20,12180,853,11327
01-09-2014,Enterprise,Germany,Velo,Medium,2087,120,125,260875,18261,242614
01-10-2014,Government,France,Velo,Medium,1976,120,20,39520,2766,36754
01-12-2013,Government,United States of America,Velo,Medium,1421,120,20,28420,1989,26431
01-12-2014,Small Business,United States of America,Velo,Medium,1372,120,300,411600,28812,382788
01-12-2013,Government,Germany,Velo,Medium,588,120,20,11760,823,10937
01-01-2014,Channel Partners,Canada,VTT,Medium,3245,250,12,38934,2725,36209
01-02-2014,Small Business,France,VTT,Medium,959,250,300,287700,20139,267561
01-02-2014,Small Business,Mexico,VTT,Medium,2747,250,300,824100,57687,766413
01-05-2014,Enterprise,Canada,Amarilla,Medium,1645,260,125,205625,14394,191231
01-09-2014,Government,France,Amarilla,Medium,2876,260,350,1006600,70462,936138
01-09-2013,Enterprise,Germany,Amarilla,Medium,994,260,125,124250,8698,115553
01-11-2014,Government,Canada,Amarilla,Medium,1118,260,20,22360,1565,20795
